"","DateField","Date","speech_name","raw_spoke_to","spoke_to","org_exist","place_1","place_2","name","position_cat","any_speech","bankersfinance","other_private","otherregulators","io","community_organisations","thinktank","press_association","prof_econ_assoc","university","hearing","trade_assoc","non_finance_gov","nonbuinessadvocacy","social_events","economic_literacy","other","org"
"1",1996-06-01,1996-06-13,"Bank supervision in a world economy","At the International Conference of Banking Supervisors, Stockholm, Sweden","International Conference of Banking Supervisors",NA," Stockholm"," Sweden","Alan Greenspan",3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2",1996-06-01,1996-06-18,"Developments in electronic money and banking","At the CyberPayments '96 Conference, Dallas, Texas","CyberPayments '96 Conference",NA," Dallas"," Texas","Edward W. Kelley",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3",1996-09-01,1996-09-08,"Monetary policy objectives and strategy","At the National Association of Business Economists 38th Annual Meeting, Boston, Massachusetts","National Association of Business Economists 38th Annual Meeting",NA," Boston"," Massachusetts","Laurence H. Meyer",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
"4",1996-09-01,1996-09-19,"Regulation and electronic payment systems","At the U.S. Treasury Conference on Electronic Money & Banking: The Role of Government, Washington, D.C.","U.S. Treasury Conference on Electronic Money & Banking: The Role of Government",NA," Washington"," D.C.","Alan Greenspan",3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"5",1996-10-01,1996-10-02,"Small business is big business","At the Small Business Development Conference, Richmond, Virginia","Small Business Development Conference",NA," Richmond"," Virginia","Lawrence B. Lindsey",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"6",1996-10-01,1996-10-05,"Bank supervision, regulation, and risk","At the Annual Convention of the American Bankers Association, Honolulu, Hawaii","Annual Convention of the American Bankers Association",NA," Honolulu"," Hawaii","Alan Greenspan",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7",1996-10-01,1996-10-07,"U.S. Treasury securities market: Lessons from Alexander Hamilton","At the Annual Public Service Awards Dinner of the Public Securities Association, New York, New York","Annual Public Service Awards Dinner of the Public Securities Association",NA," New York"," New York","Alan Greenspan",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8",1996-10-01,1996-10-09,"Here we go again?","At the Community Development Lending Conference, Dallas, Texas","Community Development Lending Conference",NA," Dallas"," Texas","Lawrence B. Lindsey",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
"9",1996-10-01,1996-10-11,"How to grow faster","At the Atlantic Economic Society, Washington, D.C.","Atlantic Economic Society",NA," Washington"," D.C.","Lawrence B. Lindsey",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
"10",1996-10-01,1996-10-16,"Technological advances and productivity","At the 80th Anniversary Awards Dinner of The Conference Board, New York, New York","80th Anniversary Awards Dinner of The Conference Board",NA," New York"," New York","Alan Greenspan",3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"11",1996-10-01,1996-10-24,"Accounting and auditing standards and bank supervision","At the 23rd Annual Accounting Lecture Series of the University of Tennessee, Chattanooga, Tennessee","23rd Annual Accounting Lecture Series of the University of Tennessee",NA," Chattanooga"," Tennessee","Susan M. Phillips",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
"12",1996-10-01,1996-10-31,"The future of electronic payments","At the BAI Money Transfer '96 Conference, New York, New York","BAI Money Transfer '96 Conference",NA," New York"," New York","Edward W. Kelley",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"13",1996-11-01,1996-11-18,"Banking in the global marketplace","At the Federation of Bankers Associations of Japan, Tokyo, Japan","Federation of Bankers Associations of Japan",NA," Tokyo"," Japan","Alan Greenspan",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"14",1996-11-01,1996-11-21,"The transformation of the U.S. banking industry and resulting challenges to regulators","At the Ohio Bankers Day Convention, Columbus, Ohio","Ohio Bankers Day Convention",NA," Columbus"," Ohio","Laurence H. Meyer",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",1996-11-01,1996-11-25,"Supervisory and regulatory responses to financial innovation and industry dynamics","At the BAI Seminar on Regulatory Policy Changes, Washington, D.C.","BAI Seminar on Regulatory Policy Changes",NA," Washington"," D.C.","Susan M. Phillips",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
